Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,
(Kolkata Knight Riders),,,,,,,,,,,,,,,
DPMD Jayawardene,2008-2013,3,2,1,56,45*,56.00,35,160.00,0,0,0,7,2,
"(Delhi Daredevils, Kings XI Punjab)",,,,,,,,,,,,,,,
M Vijay,2013-2016,3,3,0,55,29,18.33,41,134.14,0,0,0,6,4,
"(Chennai Super Kings, Kings XI Punjab)",,,,,,,,,,,,,,,
JJ Roy,2017-2023,2,2,0,51,31,25.50,40,127.50,0,0,0,9,0,
"(Gujarat Lions, Kolkata Knight Riders)",,,,,,,,,,,,,,,
S Dube,2019-2024,2,2,0,50,45,25.00,31,161.29,0,0,0,3,4,
"(Chennai Super Kings, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
AD Hales,2018-2018,2,2,0,50,45,25.00,36,138.88,0,0,0,4,3,
(Sunrisers Hyderabad),,,,,,,,,,,,,,,
A Mishra,2011-2023,27,9,4,50,25*,10.00,45,111.11,0,0,4,5,0,
"(Deccan Chargers, Delhi Capitals, Delhi Daredevils, Lucknow Super Giants, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
RM Patidar,2024-2024,1,1,0,50,50,50.00,20,250.00,0,1,0,2,5,
(Royal Challengers Bengaluru),,,,,,,,,,,,,,,
MK Tiwary,2008-2018,5,4,0,50,33,12.50,46,108.69,0,0,0,5,1,
"(Delhi Daredevils, Kings XI Punjab, Kolkata Knight Riders, Rising Pune Supergiant)",,,,,,,,,,,,,,,
DJ Harris,2012-2012,2,2,0,49,30,24.50,46,106.52,0,0,0,6,1,
(Deccan Chargers),,,,,,,,,,,,,,,
IK Pathan,2008-2014,8,4,1,49,23*,16.33,55,89.09,0,0,0,3,0,
"(Delhi Daredevils, Kings XI Punjab, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
RR Rossouw,2024-2024,1,1,0,49,49,49.00,24,204.16,0,0,0,3,4,
(Punjab Kings),,,,,,,,,,,,,,,
A Taide,2024-2024,1,1,0,46,46,46.00,27,170.37,0,0,0,5,2,
(Punjab Kings),,,,,,,,,,,,,,,
A Manohar,2025-2025,4,3,0,45,43,15.00,44,102.27,0,0,1,2,3,
(Sunrisers Hyderabad),,,,,,,,,,,,,,,
AD Russell,2012-2023,5,4,0,45,24,11.25,33,136.36,0,0,0,2,4,
"(Delhi Daredevils, Kolkata Knight Riders)",,,,,,,,,,,,,,,
Rashid Khan,2017-2025,22,10,3,43,17*,6.14,26,165.38,0,0,4,2,4,
"(Gujarat Titans, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
Anmolpreet Singh,2023-2024,2,2,0,41,36,20.50,32,128.12,0,0,0,8,0,
(Sunrisers Hyderabad),,,,,,,,,,,,,,,
GJ Bailey,2014-2015,2,2,1,41,35*,41.00,30,136.66,0,0,0,2,3,
(Kings XI Punjab),,,,,,,,,,,,,,,
C Munro,2019-2019,1,1,0,40,40,40.00,24,166.66,0,0,0,4,3,
(Delhi Capitals),,,,,,,,,,,,,,,
LRPL Taylor,2011-2013,2,2,1,40,21*,40.00,33,121.21,0,0,0,1,2,
"(Pune Warriors, Rajasthan Royals)",,,,,,,,,,,,,,,
AD Mathews,2013-2017,2,2,1,39,31,39.00,29,134.48,0,0,0,3,1,
"(Delhi Daredevils, Pune Warriors)",,,,,,,,,,,,,,,
SP Goswami,2008-2018,3,2,0,38,35,19.00,29,131.03,0,0,0,4,1,
"(Rajasthan Royals, Royal Challengers Bangalore, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
Mohammad Nabi,2017-2019,6,4,0,37,20,9.25,29,127.58,0,0,0,1,3,
(Sunrisers Hyderabad),,,,,,,,,,,,,,,
SS Tiwary,2011-2016,3,3,1,37,30,18.50,37,100.00,0,0,0,1,1,
"(Rising Pune Supergiants, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
P Arya,2025-2025,1,1,0,36,36,36.00,13,276.92,0,0,0,2,4,
(Punjab Kings),,,,,,,,,,,,,,,
ST Jayasuriya,2008-2008,1,1,0,36,36,36.00,15,240.00,0,0,0,6,2,
(Mumbai Indians),,,,,,,,,,,,,,,
JM Sharma,2023-2024,2,2,1,36,32*,36.00,24,150.00,0,0,0,3,2,
(Punjab Kings),,,,,,,,,,,,,,,
AS Yadav,2008-2008,4,4,0,36,16,9.00,25,144.00,0,0,1,5,1,
(Deccan Chargers),,,,,,,,,,,,,,,
SE Rutherford,2025-2025,1,1,1,35,35*,-,16,218.75,0,0,0,6,1,
(Gujarat Titans),,,,,,,,,,,,,,,
JD Ryder,2011-2011,1,1,0,35,35,35.00,20,175.00,0,0,0,5,2,
(Pune Warriors),,,,,,,,,,,,,,,
SB Dubey,2025-2025,1,1,1,34,34*,-,11,309.09,0,0,0,1,4,
(Rajasthan Royals),,,,,,,,,,,,,,,
M Kaif,2008-2008,1,1,0,34,34,34.00,16,212.50,0,0,0,2,3,
(Rajasthan Royals),,,,,,,,,,,,,,,
Misbah-ul-Haq,2008-2008,1,1,0,34,34,34.00,28,121.42,0,0,0,4,1,
(Royal Challengers Bangalore),,,,,,,,,,,,,,,
DJ Jacobs,2011-2011,1,1,0,32,32,32.00,20,160.00,0,0,0,5,1,
(Mumbai Indians),,,,,,,,,,,,,,,
Sachin Baby,2013-2017,3,3,0,31,27,10.33,26,119.23,0,0,0,3,1,
"(Rajasthan Royals, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
Naman Dhir,2024-2025,2,1,0,30,30,30.00,14,214.28,0,0,0,2,2,
(Mumbai Indians),,,,,,,,,,,,,,,
E Lewis,2018-2018,1,1,0,29,29,29.00,17,170.58,0,0,0,3,2,
(Mumbai Indians),,,,,,,,,,,,,,,
WG Jacks,2024-2025,2,2,0,28,22,14.00,28,100.00,0,0,0,2,1,
"(Mumbai Indians, Royal Challengers Bengaluru)",,,,,,,,,,,,,,,
OA Shah,2012-2012,1,1,0,28,28,28.00,32,87.50,0,0,0,1,0,
(Rajasthan Royals),,,,,,,,,,,,,,,
