Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Unnamed: 14
BW Hilfenhaus,2012-2014,17,17,62,2,479,22,Mar-27,21.77,7.72,16.9,0,0,
,,,,,,,,,,,,,,
Sohail Tanvir,2008-2008,11,11,41.1,0,266,22,Jun-14,12.09,6.46,11.2,1,1,
,,,,,,,,,,,,,,
K Gowtham,2018-2024,35,35,98,1,808,21,02-Dec,38.47,8.24,28,0,0,
,,,,,,,,,,,,,,
AS Joseph,2019-2024,22,22,72.2,1,691,21,06-Dec,32.9,9.55,20.6,0,1,
,,,,,,,,,,,,,,
VY Mahesh,2008-2012,17,17,56.3,0,499,21,Apr-36,23.76,8.83,16.1,1,0,
,,,,,,,,,,,,,,
Shahbaz Ahmed,2020-2025,56,43,91,0,859,21,03-Jul,40.9,9.43,26,0,0,
,,,,,,,,,,,,,,
RE van der Merwe,2009-2013,21,21,73.5,1,498,21,Mar-20,23.71,6.74,21,0,0,
,,,,,,,,,,,,,,
Mujeeb Ur Rahman,2018-2025,20,20,74.2,0,620,20,Mar-27,31,8.34,22.3,0,0,
,,,,,,,,,,,,,,
Chetan Sakariya,2021-2025,20,20,74,1,638,20,Mar-31,31.9,8.62,22.2,0,0,
,,,,,,,,,,,,,,
A Symonds,2008-2011,39,30,87.5,0,674,20,Mar-21,33.7,7.67,26.3,0,0,
,,,,,,,,,,,,,,
JP Behrendorff,2019-2023,17,17,61,0,552,19,Mar-23,29.05,9.04,19.2,0,0,
,,,,,,,,,,,,,,
Nathan Ellis,2021-2025,17,17,63,0,546,19,Apr-30,28.73,8.66,19.8,1,0,
,,,,,,,,,,,,,,
Akash Madhwal,2023-2024,13,13,43.4,0,424,19,05-May,22.31,9.7,13.7,1,1,
,,,,,,,,,,,,,,
AD Mascarenhas,2008-2013,13,13,51.2,1,356,19,May-25,18.73,6.93,16.2,0,1,
,,,,,,,,,,,,,,
RP Meredith,2021-2023,18,18,64.4,0,612,19,Feb-24,32.21,9.46,20.4,0,0,
,,,,,,,,,,,,,,
KW Richardson,2013-2021,15,15,55.5,0,472,19,Mar-13,24.84,8.45,17.6,0,0,
,,,,,,,,,,,,,,
Mitchell Santner,2019-2025,27,27,89.3,0,658,19,Feb-13,34.63,7.35,28.2,0,0,
,,,,,,,,,,,,,,
J Suchith,2015-2022,22,21,70,0,602,19,02-Dec,31.68,8.6,22.1,0,0,
,,,,,,,,,,,,,,
Anureet Singh,2009-2018,23,22,68.4,0,623,18,Mar-23,34.61,9.07,22.8,0,0,
,,,,,,,,,,,,,,
A Ashish Reddy,2012-2016,31,20,43.4,0,396,18,Mar-25,22,9.06,14.5,0,0,
,,,,,,,,,,,,,,
Chris Gayle,2009-2021,140,38,92.2,0,729,18,Mar-21,40.5,7.89,30.7,0,0,
,,,,,,,,,,,,,,
IC Pandey,2013-2015,25,24,77,4,591,18,Feb-23,32.83,7.67,25.6,0,0,
,,,,,,,,,,,,,,
BB Sran,2015-2019,24,24,80.3,0,757,18,Mar-28,42.05,9.4,26.8,0,0,
,,,,,,,,,,,,,,
WPUJC Vaas,2008-2010,13,13,47,2,355,18,Mar-21,19.72,7.55,15.6,0,0,
,,,,,,,,,,,,,,
Bipul Sharma,2010-2017,33,28,71,0,572,17,Feb-13,33.64,8.05,25,0,0,
,,,,,,,,,,,,,,
CRD Fernando,2008-2010,10,10,39,0,294,17,Apr-18,17.29,7.53,13.7,1,0,
,,,,,,,,,,,,,,
BJ Hodge,2008-2014,66,20,39,0,303,17,Apr-13,17.82,7.76,13.7,1,0,
,,,,,,,,,,,,,,
Mukesh Choudhary,2022-2025,16,16,52.3,0,522,17,Apr-46,30.7,9.94,18.5,1,0,
,,,,,,,,,,,,,,
Cameron Green,2023-2024,29,29,73.1,0,664,16,02-Dec,41.5,9.07,27.4,0,0,
,,,,,,,,,,,,,,
D Wiese,2015-2023,17,15,49.2,0,440,16,Apr-33,27.5,8.91,18.5,1,0,
,,,,,,,,,,,,,,
YA Abdulla,2009-2010,11,11,34.5,1,307,15,Apr-31,20.46,8.81,13.9,2,0,
,,,,,,,,,,,,,,
Kartik Tyagi,2020-2024,20,20,70.2,0,713,15,Feb-29,47.53,10.13,28.1,0,0,
,,,,,,,,,,,,,,
Mohammad Nabi,2017-2024,24,23,69.3,0,517,15,04-Nov,34.46,7.43,27.8,1,0,
,,,,,,,,,,,,,,
